wallix_type,action,session_phase,severity,wallix_type_description
INCOMING_CONNECTION,success,start,informational,Client reached the Bastion proxy
SESSION_ESTABLISHED_SUCCESSFULLY,success,start,informational,Privileged session opened on the target
CONNECTION_FAILED,failure,start,medium,Connection to the target failed
AUTHENTICATION_SUCCESS,success,start,informational,Secondary authentication succeeded
AUTHENTICATION_FAILURE,failure,start,medium,Secondary authentication failed
SESSION_DISCONNECTION,success,end,informational,Privileged session closed
SESSION_KILLED,success,end,high,Session terminated by an administrator or a rule
KBD_INPUT,success,activity,informational,Keystrokes captured in the session
NEW_PROCESS,success,activity,informational,Process started on the target
COMPLETED_PROCESS,success,activity,informational,Process exited on the target
FOREGROUND_WINDOW_CHANGED,success,activity,informational,Foreground window changed on the target
BUTTON_CLICKED,success,activity,informational,UI button clicked on the target
EDIT_CHANGED,success,activity,informational,UI text field modified on the target
CHECKBOX_CLICKED,success,activity,informational,UI checkbox toggled on the target
SFTP_EVENT,success,activity,low,SFTP file operation
DRIVE_REDIRECTION_READ,success,activity,low,File read through RDP drive redirection
DRIVE_REDIRECTION_WRITE,success,activity,medium,File written through RDP drive redirection
DRIVE_REDIRECTION_WRITE_EX,success,activity,medium,File written through RDP drive redirection
DRIVE_REDIRECTION_DELETE,success,activity,medium,File deleted through RDP drive redirection
DRIVE_REDIRECTION_RENAME,success,activity,medium,File renamed through RDP drive redirection
CB_COPYING_PASTING_DATA_TO_REMOTE_SESSION,success,activity,medium,Clipboard data pasted into the target
CB_COPYING_PASTING_DATA_TO_REMOTE_SESSION_EX,success,activity,medium,Clipboard data pasted into the target
CB_COPYING_PASTING_DATA_FROM_REMOTE_SESSION,success,activity,high,Clipboard data copied out of the target
CB_COPYING_PASTING_DATA_FROM_REMOTE_SESSION_EX,success,activity,high,Clipboard data copied out of the target
PATTERN_FOUND,failure,activity,high,A forbidden pattern was detected in the session
KILL_PATTERN_DETECTED,failure,activity,critical,A kill pattern was detected and the session was terminated
NOTIFY_PATTERN_DETECTED,success,activity,high,A notify pattern was detected in the session
FILE_VERIFICATION,success,activity,low,File scanned by the ICAP service
FILE_BLOCKED,failure,activity,high,File blocked by the ICAP service
SESSION_PROBE_LAUNCH_FAILED,failure,activity,medium,RDP session probe failed to start
